ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6z01	unrelaxed_multimer_v3	3	5	0.6835043252264658	0.98128027	[0.009484605348120196, 0.009490459118832444]	[0.10802359, 0.10801311]	[80.86463878326997, 81.03536121673004]	0.4684062696300221	0.15294664	0.2160385627905979	1
6z01	unrelaxed_multimer_v3	4	1	0.081107572462155	0.66728511	[0.04193835095983369, 0.04142502537588374]	[0.48817685, 0.4867035]	[76.49545454545455, 76.3309090909091]	0.7647006011364027	0.62993884	0.6568911929201516	1
6z01	unrelaxed_multimer_v3	4	2	0.1146323646345897	0.68635536	[0.013812558067168731, 0.014477482648783353]	[0.26422533, 0.26643804]	[67.55125, 70.6775]	0.71535013329286	0.54526526	0.5792822325454129	1
6z01	unrelaxed_multimer_v3	4	3	0.0895382393047851	0.66728511	[0.020258137397977813, 0.02333979235777753]	[0.36696786, 0.3746304]	[68.87333333333332, 74.12933333333335]	0.7523640739024114	0.6073742	0.636372167807826	1
6z01	unrelaxed_multimer_v3	4	4	0.0957733857467856	0.66728511	[0.06132733759678491, 0.06113214958896829]	[0.53734976, 0.5366938]	[80.39111111111112, 80.39888888888888]	0.7622624492834424	0.6224047	0.6503762455024404	1
6z01	unrelaxed_multimer_v3	4	5	0.1166482679029963	0.68635536	[0.017466177697656363, 0.016808400759262564]	[0.32218823, 0.3208579]	[69.94958333333334, 67.95375]	0.7505391292301137	0.60310173	0.6325892101233666	1
6z01	unrelaxed_multimer_v3	5	1	0.5140289268591952	0.90043139	[0.009140183220245103, 0.009112898576829256]	[0.109578155, 0.109659106]	[69.88189393939393, 69.01704545454545]	0.4413747821439147	0.13183293	0.193741298401134	1
6z01	unrelaxed_multimer_v3	5	2	0.4744935464108932	0.88570037	[0.009084621910374641, 0.009097984006759851]	[0.101655096, 0.10184614]	[73.53587155963302, 73.83045871559635]	0.4703941607876745	0.13842317	0.2048173718532746	1
6z01	unrelaxed_multimer_v3	5	3	0.138032216281913	0.70615739	[0.009013477353159483, 0.009068212457724873]	[0.09959201, 0.099623755]	[72.67945945945944, 74.49027027027027]	0.4428247952644097	0.14144136	0.2017180471456859	1
6z01	unrelaxed_multimer_v3	5	4	0.6284937090612331	0.95333044	[0.009432171409733648, 0.009435833011066179]	[0.10239841, 0.10246692]	[83.75788461538463, 83.81057692307692]	0.4361579344327256	0.13755874	0.1972785815726718	1
6z01	unrelaxed_multimer_v3	5	5	0.04932819399298918	0.63555449	[0.008837645277453576, 0.008879476409053087]	[0.10464115, 0.10478368]	[63.39764705882353, 64.70705882352941]	0.4630941101315571	0.15512328	0.21671744482523111	1
6zk5	unrelaxed_multimer_v3	1	1	0.6041957305017653	0.9400192	[0.6676850827332839, 0.6689398949791772]	[0.9222073, 0.9224649]	[92.21216666666665, 92.24199999999999]	0.9049715479755196	0.87801385	0.8834053890018422	1
6zk5	unrelaxed_multimer_v3	1	2	0.5975317078670114	0.93172991	[0.6469581241736538, 0.6495581286029362]	[0.91555303, 0.9164478]	[91.95733333333334, 91.98349999999999]	0.9029146197933604	0.87663233	0.8818887902001272	1
6zk5	unrelaxed_multimer_v3	1	3	0.6035409070540524	0.9400192	[0.6706077307424216, 0.6701314427685107]	[0.9220609, 0.92209643]	[92.35633333333334, 92.33166666666666]	0.9050733945223556	0.879153	0.8843370894879672	1
6zk5	unrelaxed_multimer_v3	1	4	0.6002203802080296	0.93172991	[0.6488112353136333, 0.6508470772710667]	[0.91774404, 0.91829526]	[91.82032258064514, 91.85580645161289]	0.9053836928938468	0.8774073	0.8830025884933203	1
6zk5	unrelaxed_multimer_v3	1	5	0.60492543469886	0.9400192	[0.6711836299221542, 0.6734548628391186]	[0.92249054, 0.9228695]	[92.33883333333333, 92.4015]	0.9049876087857168	0.87853855	0.8838283609142479	1
6zk5	unrelaxed_multimer_v3	2	1	0.5981313655809681	0.93172991	[0.6390413174670152, 0.6429962967487222]	[0.9111572, 0.9108685]	[92.04573770491805, 92.25245901639344]	0.9042706329577156	0.8781945	0.8834097353409329	1
6zk5	unrelaxed_multimer_v3	2	2	0.6049125616388946	0.9400192	[0.6506897857529028, 0.6504490758003388]	[0.9161517, 0.9159502]	[92.06370967741935, 92.07322580645163]	0.9051558223274748	0.8787496	0.8840308516603193	1
